 County, FIPS, Total,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad
Oldham,48359,0.05278732,0.000130509,7.04837E-05,0.000442482,0,0.049800394,0,0.000407958,0.001025476,0.000910017
Orange,48361,2.771446564,0.00855077,0.931126682,0.010968999,1.645743212,0.158466855,0,0.001304185,0.00327831,0.012007551
Palo Pinto,48363,0.199608967,0.002511537,0.012487759,0.002688391,0.119049805,0.05793702,0,0,0,0.004934456
Panola,48365,0.337385384,0.001600781,0.254238111,0.003115729,0.000604433,0.064899488,0,0.002469872,0.006208478,0.004248492
Parker,48367,0.189969197,0.006564061,0.018095817,0.007616276,0.000162055,0.139720563,0,0.002421055,0.006085769,0.009303601
Parmer,48369,0.045134038,0.000538265,0.006283862,0.002952793,0,0.027033268,0,0,0,0.008325849
Pecos,48371,0.250688869,0.004372524,0.175654737,0.002755824,0,0.062651757,0,0.000932437,0.002343852,0.001977737
Polk,48373,0.145795043,0.002731729,0.026692002,0.001784922,0,0.104322498,0,0.00057973,0.001457259,0.008226904
Potter,48375,2.998695216,0.022954118,0.072643968,0.044535996,2.529196321,0.232102291,0,0.022947112,0.057681804,0.016633607
Presidio,48377,0.012718066,0.000299642,0.000113184,0.000464852,0,0.008890164,0,0.000644144,0.001619174,0.000686905
Rains,48379,0.022224351,0.000392627,0.001223026,0.000451703,0,0.01811421,0,0,0,0.002042785
Randall,48381,0.220510464,0.008812523,0.015579312,0.048984958,0,0.13811814,0,0,0,0.009015532
Reagan,48383,0.045362171,0.000249947,0.036309295,0.000588855,0,0.006840583,0,0,0,0.001373492
Real,48385,0.006550892,3.43153E-05,0.000208423,2.28639E-05,0,0.005692132,0,0,0,0.000593158
Red River,48387,0.037009761,0.000857999,0.003302985,0.002574959,0.000134339,0.025372177,0,0.000354279,0.000890545,0.003522477
Reeves,48389,0.121652904,0.000918159,0.056784328,0.003105075,0,0.056347179,0,0.000880592,0.002213527,0.001404046
Refugio,48391,0.092347308,0.000503926,0.039305893,0.000867679,1.95151E-05,0.045086582,0,0.000483108,0.001214384,0.004866221
Roberts,48393,0.009792839,0.000439931,0.003363294,0.000312708,0,0.005115595,0,0,0,0.000561311
Robertson,48395,0.748626012,0.000762027,0.002776302,0.00200918,0.689983184,0.047507072,0,0.00057973,0.001457259,0.00355126
Rockwall,48397,0.140515705,0.003732595,0.005907393,0.010764925,0,0.091654106,0,0.004084608,0.010267416,0.014104662
Runnels,48399,0.038119331,0.000712908,0.005599226,0.002274333,0,0.022260703,0,0,0,0.007272161
Rusk,48401,4.968517652,0.00354409,0.082257562,0.010535943,4.785960398,0.07769601,0,0.001066765,0.00268151,0.004775373
Sabine,48403,0.027451969,0.000591415,0.001217959,0.000516333,0,0.020537172,0,0,0,0.00458909
San Augustine,48405,0.024950188,0.000526061,0.000477635,0.00088125,0,0.019667055,0,0,0,0.003398187
San Jacinto,48407,0.054430239,0.000423349,0.00030689,0.000353669,0,0.049818799,0,0,0,0.003527532
San Patricio,48409,0.662318684,0.004423194,0.044627743,0.010321608,0.464582839,0.120718945,0,0.00120659,0.003032988,0.013404777
San Saba,48411,0.01229457,0.000512799,0.000189757,0.000559893,0,0.009465146,0,0,0,0.001566974
Schleicher,48413,0.013230824,0.00021171,0.002825408,0.000471995,0,0.009212649,0,0,0,0.000509062
Scurry,48415,0.078516461,0.00141483,0.016399111,0.002914702,0.005002568,0.044144362,0,0.000837388,0.002104928,0.005698573
Shackelford,48417,0.024851601,0.000216142,0.010619066,0.000670232,0,0.0116469,0,0,0,0.001699262
Shelby,48419,0.075560974,0.001734898,0.008212155,0.00337814,0,0.05441277,0,0.000812722,0.002042925,0.004967364
Sherman,48421,0.043453495,0.000167897,0.016054016,0.001605264,0,0.019416796,0,0,0,0.006209523
Smith,48423,1.02456298,0.035924971,0.5391817,0.032275511,0,0.330049258,0,0.017545309,0.044103377,0.025482854
Somervell,48425,0.017945634,0.000716134,0.000689545,0.000364494,0,0.014894553,0,0,0,0.001280909
Starr,48427,0.081178911,0.002615809,0.02005998,0.001047902,0,0.052788839,0,0.000180508,0.000453739,0.004032134
Stephens,48429,0.02772925,0.000745552,0.002147263,0.001484218,0,0.014989796,0,0.001696247,0.004263828,0.002402346
Sterling,48431,0.0258165,9.40337E-05,0.016426025,0.000192344,0,0.008656648,0,0,0,0.000447449
Stonewall,48433,0.008832197,0.000139657,3.53446E-05,2.52356E-05,0,0.007047764,0,4.2943E-05,0.000107943,0.00143331
Sutton,48435,0.070312104,0.000404243,0.033135279,0.000697985,0,0.035256392,0,0,0,0.000818205
Swisher,48437,0.041880343,0.000498843,0.000607356,0.002764482,0,0.025953335,0,0.001986112,0.004992458,0.005077758
Tarrant,48439,4.554328696,0.329652858,0.585895053,0.216681302,0.583056028,1.835660548,0,0.226176591,0.568536628,0.208669689
Taylor,48441,0.382555269,0.022337794,0.015469088,0.027424583,0,0.249407645,0,0.015101341,0.037960013,0.014854805
Terrell,48443,0.027570992,5.42691E-05,0.020276541,1.3214E-05,0,0.006079307,0,0,0,0.00114766
Terry,48445,0.051364578,0.000950745,0.00442911,0.003719792,0,0.029733716,0,0.001180931,0.002968489,0.008381795
Throckmorton,48447,0.007383009,0.000148926,7.04837E-05,0.000213633,0,0.00544379,0,0,0,0.001506176
Titus,48449,7.256849822,0.003184419,0.016418889,0.004542244,7.147448387,0.076878019,0,0.000914371,0.002298442,0.005165051
Tom Green,48451,0.37554091,0.014515089,0.015158831,0.016513993,0.091942457,0.152919352,0,0.019515344,0.049055421,0.015920422
Travis,48453,2.281421792,0.172722512,0.243773762,0.125491582,0.382041261,1.099350117,0,0.035201099,0.088484467,0.134356992
Trinity,48455,0.02851209,0.000748108,0.000841055,0.00076532,0,0.023074706,0,0,0,0.003082901
Tyler,48457,0.039824785,0.001023245,0.001813719,0.000986333,0,0.032791176,0,0,0,0.003210311
Upshur,48459,0.104366581,0.002125201,0.034192319,0.006514036,0,0.055763219,0,0.000708559,0.001781093,0.003282153
Upton,48461,0.05868972,0.000243811,0.047760443,0.000661803,0,0.008645862,0,0,0,0.001377801
Uvalde,48463,0.062158761,0.002334322,0.002946989,0.001923877,0,0.039823059,0,0.002963554,0.007449439,0.004717521
Val Verde,48465,0.06788955,0.004116221,0.001322806,0.002720969,0,0.044168157,0,0.002945678,0.007404507,0.005211212
Van Zandt,48467,0.148997906,0.002705379,0.008531824,0.003199264,0,0.128255342,0,0,0,0.006306097
Victoria,48469,0.448346755,0.01206441,0.201934616,0.008077098,0.034822368,0.169706223,0,0.003221591,0.008098064,0.010422385
Walker,48471,0.181053578,0.004901683,0.005408188,0.003925156,0,0.146209757,0,0.004101568,0.010310046,0.00619718
Waller,48473,0.175429291,0.00255721,0.059459266,0.003158196,0.013499618,0.089307691,0,0,0,0.00744731
Ward,48475,0.427994963,0.000734281,0.031819176,0.002562798,0.347295883,0.043107572,0,0.000450901,0.001133424,0.000890928
Washington,48477,0.103064188,0.00353428,0.01076855,0.001847026,0,0.077507592,0,0.001043199,0.002622277,0.005741264
Webb,48479,0.407319151,0.017964419,0.014708511,0.010933499,0.085905718,0.214449372,0,0.01323474,0.033267964,0.016854928
Wharton,48481,0.156972085,0.00399038,0.017220027,0.003954997,0.000321584,0.114520474,0,0.000959146,0.002410988,0.013594488
Wheeler,48483,0.060793804,0.000593611,0.005111478,0.002146536,7.48523E-07,0.050916009,0,0,0,0.00202542
Wichita,48485,0.308585106,0.018696418,0.040835809,0.028283009,0,0.163442696,0,0.011861863,0.029816986,0.015648325
Wilbarger,48487,1.229622469,0.001458805,0.005026737,0.003703544,1.166714775,0.042157048,0,0.001259747,0.003166605,0.006135207
Willacy,48489,0.040537428,0.000924391,0.003778952,0.001069908,0,0.023927128,0,0,0,0.01083705
Williamson,48491,0.534825878,0.023402352,0.035106101,0.029566578,0,0.334990492,0,0.014589534,0.036673493,0.06049733
Wilson,48493,0.053041638,0.0012865,0.001094909,0.006192517,0,0.040825688,0,0,0,0.003642024
