,BINs,Type,Score,S_EUI,BBL,ZIP,ED_Visits,UnitsTotal,YearBuilt,Tract2010,XCoord,YCoord,avg,Id,Id2,code,med_inc
1106,4464064,Office,94.0,79.0,4043620024.0,11357.0,266.0,6.0,1992.0,907.0,1029287.0,219983.0,242.633333333,8600000US11357,11357.0,ZCTA5 11357,73750.0
1109,4196964,Non-Refrigerated Warehouse,71.0,85.6,4093750174.0,11418.0,1424.0,4.0,1925.0,14202.0,1035403.0,193899.0,132.15,8600000US11418,11418.0,ZCTA5 11418,61480.0
1111,4209597,Office,96.0,91.3,4097950001.0,11432.0,2339.0,5.0,1931.0,460.0,1041258.0,196538.0,167.2,8600000US11432,11432.0,ZCTA5 11432,50702.0
1115,4013983,Office,96.0,103.2,4007440040.0,11103.0,429.0,5.0,1930.0,145.0,1010532.0,217803.0,103.2,8600000US11103,11103.0,ZCTA5 11103,59243.0
1116,4045087,Non-Refrigerated Warehouse,20.0,109.8,4018330300.0,11368.0,2709.0,1.0,1972.0,38301.0,1028423.0,215930.0,187.85,8600000US11368,11368.0,ZCTA5 11368,45004.0
1118,4207873,Office,83.0,116.1,4097150220.0,11435.0,1948.0,67.0,1953.0,22002.0,1035012.0,198427.0,150.75,8600000US11435,11435.0,ZCTA5 11435,52686.0
1120,4286785,Non-Refrigerated Warehouse,77.0,120.2,4134740004.0,11413.0,1456.0,1.0,1981.0,690.0,1052435.0,179903.0,174.666666667,8600000US11413,11413.0,ZCTA5 11413,81287.0
1123,4266198,Office,57.0,126.9,4122780060.0,11434.0,3056.0,2.0,1960.0,294.0,1044265.0,183842.0,157.5,8600000US11434,11434.0,ZCTA5 11434,58076.0
1125,4050460,Office,76.0,134.3,4020910001.0,11374.0,431.0,110.0,1961.0,71701.0,1023205.0,205127.0,134.3,8600000US11374,11374.0,ZCTA5 11374,52132.0
1126,4115029,Non-Refrigerated Warehouse,50.0,135.2,4050660644.0,11355.0,961.0,3.0,1962.0,849.0,1030051.0,213860.0,135.2,8600000US11355,11355.0,ZCTA5 11355,39168.0
1127,4279577,Office,85.0,150.2,4129800001.0,11422.0,937.0,56.0,1982.0,61602.0,1058629.0,185074.0,150.2,8600000US11422,11422.0,ZCTA5 11422,84955.0
1128,4009599,Office,72.0,171.7,4006400004.0,11106.0,928.0,9.0,1930.0,57.0,1005038.0,214354.0,171.7,8600000US11106,11106.0,ZCTA5 11106,54109.0
1129,4052811,Office,77.0,182.5,4022700041.0,11375.0,567.0,136.0,1983.0,75701.0,1031204.0,199909.0,282.3,8600000US11375,11375.0,ZCTA5 11375,72414.0
1131,4299228,Medical Office,67.0,196.7,4156270045.0,11691.0,3126.0,1.0,1973.0,101001.0,1054012.0,156403.0,196.7,8600000US11691,11691.0,ZCTA5 11691,42023.0
1132,4080152,Office,51.0,222.3,4033580018.0,11415.0,285.0,2.0,1992.0,216.0,1031706.0,199089.0,223.9,8600000US11415,11415.0,ZCTA5 11415,63756.0
1134,4438296;4438294;4438295,Office,4.0,408.7,4067900022.0,11365.0,785.0,4.0,1964.0,122701.0,1036881.0,206358.0,408.7,8600000US11365,11365.0,ZCTA5 11365,59520.0
1135,4138207,Office,2.0,472.2,4062840001.0,11361.0,261.0,33.0,1971.0,1467.0,1047819.0,216809.0,472.2,8600000US11361,11361.0,ZCTA5 11361,79158.0
1136,5043303;5819076˜˜,Non-Refrigerated Warehouse,100.0,20.0,5028730034.0,10304.0,1869.0,1.0,1924.0,40.0,963316.0,163917.0,257.65,8600000US10304,10304.0,ZCTA5 10304,54106.0
1138,5152029;5801862;5158039,Office,100.0,63.8,5005030001.0,10301.0,1828.0,1.0,2008.0,21.0,963187.0,170155.0,152.366666667,8600000US10301,10301.0,ZCTA5 10301,54605.0
1144,5141913,Office,63.0,195.8,5017250550.0,10314.0,1164.0,1.0,2002.0,29102.0,935024.0,163105.0,206.75,8600000US10314,10314.0,ZCTA5 10314,77331.0
1146,5028501,Office,97.0,352.1,5012680278.0,10303.0,1360.0,1.0,1964.0,323.0,937516.0,169153.0,352.1,8600000US10303,10303.0,ZCTA5 10303,52553.0
1147,5088569,Distribution Center,1.0,377.8,5079910100.0,10307.0,166.0,1.0,1984.0,248.0,916436.0,127683.0,377.8,8600000US10307,10307.0,ZCTA5 10307,76857.0
1148,,,,,,6390.0,,,,,,,,8600000US06390,6390.0,ZCTA5 06390,151083.0
1149,,,,,,10009.0,,,,,,,,8600000US10009,10009.0,ZCTA5 10009,59090.0
1150,,,,,,10024.0,,,,,,,,8600000US10024,10024.0,ZCTA5 10024,113839.0
1151,,,,,,10026.0,,,,,,,,8600000US10026,10026.0,ZCTA5 10026,47264.0
1152,,,,,,10030.0,,,,,,,,8600000US10030,10030.0,ZCTA5 10030,33196.0
1153,,,,,,10031.0,,,,,,,,8600000US10031,10031.0,ZCTA5 10031,39774.0
1154,,,,,,10034.0,,,,,,,,8600000US10034,10034.0,ZCTA5 10034,42581.0
1155,,,,,,10039.0,,,,,,,,8600000US10039,10039.0,ZCTA5 10039,33558.0
1156,,,,,,10040.0,,,,,,,,8600000US10040,10040.0,ZCTA5 10040,46200.0
1157,,,,,,10044.0,,,,,,,,8600000US10044,10044.0,ZCTA5 10044,91383.0
1158,,,,,,10069.0,,,,,,,,8600000US10069,10069.0,ZCTA5 10069,163750.0
1159,,,,,,10075.0,,,,,,,,8600000US10075,10075.0,ZCTA5 10075,111691.0
1160,,,,,,10103.0,,,,,,,,8600000US10103,10103.0,ZCTA5 10103,
1161,,,,,,10110.0,,,,,,,,8600000US10110,10110.0,ZCTA5 10110,
1162,,,,,,10111.0,,,,,,,,8600000US10111,10111.0,ZCTA5 10111,
1163,,,,,,10112.0,,,,,,,,8600000US10112,10112.0,ZCTA5 10112,
1164,,,,,,10115.0,,,,,,,,8600000US10115,10115.0,ZCTA5 10115,
1165,,,,,,10119.0,,,,,,,,8600000US10119,10119.0,ZCTA5 10119,
1166,,,,,,10152.0,,,,,,,,8600000US10152,10152.0,ZCTA5 10152,
1167,,,,,,10153.0,,,,,,,,8600000US10153,10153.0,ZCTA5 10153,
1168,,,,,,10154.0,,,,,,,,8600000US10154,10154.0,ZCTA5 10154,
1169,,,,,,10162.0,,,,,,,,8600000US10162,10162.0,ZCTA5 10162,193510.0
1170,,,,,,10165.0,,,,,,,,8600000US10165,10165.0,ZCTA5 10165,
1171,,,,,,10167.0,,,,,,,,8600000US10167,10167.0,ZCTA5 10167,
1172,,,,,,10168.0,,,,,,,,8600000US10168,10168.0,ZCTA5 10168,
1173,,,,,,10169.0,,,,,,,,8600000US10169,10169.0,ZCTA5 10169,
1174,,,,,,10170.0,,,,,,,,8600000US10170,10170.0,ZCTA5 10170,
1175,,,,,,10171.0,,,,,,,,8600000US10171,10171.0,ZCTA5 10171,
1176,,,,,,10172.0,,,,,,,,8600000US10172,10172.0,ZCTA5 10172,
1177,,,,,,10173.0,,,,,,,,8600000US10173,10173.0,ZCTA5 10173,
1178,,,,,,10174.0,,,,,,,,8600000US10174,10174.0,ZCTA5 10174,
1179,,,,,,10177.0,,,,,,,,8600000US10177,10177.0,ZCTA5 10177,
1180,,,,,,10199.0,,,,,,,,8600000US10199,10199.0,ZCTA5 10199,
1181,,,,,,10271.0,,,,,,,,8600000US10271,10271.0,ZCTA5 10271,
1182,,,,,,10278.0,,,,,,,,8600000US10278,10278.0,ZCTA5 10278,
1183,,,,,,10279.0,,,,,,,,8600000US10279,10279.0,ZCTA5 10279,
1184,,,,,,10280.0,,,,,,,,8600000US10280,10280.0,ZCTA5 10280,145432.0
1185,,,,,,10282.0,,,,,,,,8600000US10282,10282.0,ZCTA5 10282,250000.0
1186,,,,,,10302.0,,,,,,,,8600000US10302,10302.0,ZCTA5 10302,54170.0
1187,,,,,,10305.0,,,,,,,,8600000US10305,10305.0,ZCTA5 10305,72782.0
1188,,,,,,10306.0,,,,,,,,8600000US10306,10306.0,ZCTA5 10306,79686.0
1189,,,,,,10308.0,,,,,,,,8600000US10308,10308.0,ZCTA5 10308,87174.0
1190,,,,,,10309.0,,,,,,,,8600000US10309,10309.0,ZCTA5 10309,87509.0
1191,,,,,,10310.0,,,,,,,,8600000US10310,10310.0,ZCTA5 10310,68080.0
1192,,,,,,10311.0,,,,,,,,8600000US10311,10311.0,ZCTA5 10311,
1193,,,,,,10312.0,,,,,,,,8600000US10312,10312.0,ZCTA5 10312,84584.0
1194,,,,,,10460.0,,,,,,,,8600000US10460,10460.0,ZCTA5 10460,23209.0
1195,,,,,,10464.0,,,,,,,,8600000US10464,10464.0,ZCTA5 10464,75208.0
1196,,,,,,10470.0,,,,,,,,8600000US10470,10470.0,ZCTA5 10470,57706.0
1197,,,,,,10471.0,,,,,,,,8600000US10471,10471.0,ZCTA5 10471,80222.0
1198,,,,,,10472.0,,,,,,,,8600000US10472,10472.0,ZCTA5 10472,29308.0
1199,,,,,,10501.0,,,,,,,,8600000US10501,10501.0,ZCTA5 10501,141563.0
1200,,,,,,10502.0,,,,,,,,8600000US10502,10502.0,ZCTA5 10502,157132.0
1201,,,,,,10503.0,,,,,,,,8600000US10503,10503.0,ZCTA5 10503,
1202,,,,,,10504.0,,,,,,,,8600000US10504,10504.0,ZCTA5 10504,205912.0
1203,,,,,,10505.0,,,,,,,,8600000US10505,10505.0,ZCTA5 10505,143750.0
1204,,,,,,10506.0,,,,,,,,8600000US10506,10506.0,ZCTA5 10506,206207.0
1205,,,,,,10507.0,,,,,,,,8600000US10507,10507.0,ZCTA5 10507,64351.0
1206,,,,,,10509.0,,,,,,,,8600000US10509,10509.0,ZCTA5 10509,94226.0
1207,,,,,,10510.0,,,,,,,,8600000US10510,10510.0,ZCTA5 10510,146723.0
1208,,,,,,10511.0,,,,,,,,8600000US10511,10511.0,ZCTA5 10511,98370.0
1209,,,,,,10512.0,,,,,,,,8600000US10512,10512.0,ZCTA5 10512,90095.0
1210,,,,,,10514.0,,,,,,,,8600000US10514,10514.0,ZCTA5 10514,212528.0
1211,,,,,,10516.0,,,,,,,,8600000US10516,10516.0,ZCTA5 10516,92381.0
1212,,,,,,10517.0,,,,,,,,8600000US10517,10517.0,ZCTA5 10517,89250.0
1213,,,,,,10518.0,,,,,,,,8600000US10518,10518.0,ZCTA5 10518,187898.0
1214,,,,,,10519.0,,,,,,,,8600000US10519,10519.0,ZCTA5 10519,
1215,,,,,,10520.0,,,,,,,,8600000US10520,10520.0,ZCTA5 10520,101932.0
1216,,,,,,10522.0,,,,,,,,8600000US10522,10522.0,ZCTA5 10522,116671.0
1217,,,,,,10523.0,,,,,,,,8600000US10523,10523.0,ZCTA5 10523,87353.0
1218,,,,,,10524.0,,,,,,,,8600000US10524,10524.0,ZCTA5 10524,119583.0
1219,,,,,,10526.0,,,,,,,,8600000US10526,10526.0,ZCTA5 10526,122250.0
1220,,,,,,10527.0,,,,,,,,8600000US10527,10527.0,ZCTA5 10527,152212.0
1221,,,,,,10528.0,,,,,,,,8600000US10528,10528.0,ZCTA5 10528,105570.0
1222,,,,,,10530.0,,,,,,,,8600000US10530,10530.0,ZCTA5 10530,102317.0
1223,,,,,,10532.0,,,,,,,,8600000US10532,10532.0,ZCTA5 10532,105739.0
1224,,,,,,10533.0,,,,,,,,8600000US10533,10533.0,ZCTA5 10533,139574.0
1225,,,,,,10535.0,,,,,,,,8600000US10535,10535.0,ZCTA5 10535,53636.0
1226,,,,,,10536.0,,,,,,,,8600000US10536,10536.0,ZCTA5 10536,157875.0
1227,,,,,,10537.0,,,,,,,,8600000US10537,10537.0,ZCTA5 10537,77396.0
1228,,,,,,10538.0,,,,,,,,8600000US10538,10538.0,ZCTA5 10538,152500.0
1229,,,,,,10541.0,,,,,,,,8600000US10541,10541.0,ZCTA5 10541,107901.0
1230,,,,,,10543.0,,,,,,,,8600000US10543,10543.0,ZCTA5 10543,83827.0
1231,,,,,,10545.0,,,,,,,,8600000US10545,10545.0,ZCTA5 10545,
1232,,,,,,10546.0,,,,,,,,8600000US10546,10546.0,ZCTA5 10546,115278.0
1233,,,,,,10547.0,,,,,,,,8600000US10547,10547.0,ZCTA5 10547,94982.0
1234,,,,,,10548.0,,,,,,,,8600000US10548,10548.0,ZCTA5 10548,77059.0
1235,,,,,,10549.0,,,,,,,,8600000US10549,10549.0,ZCTA5 10549,91184.0
1236,,,,,,10550.0,,,,,,,,8600000US10550,10550.0,ZCTA5 10550,40698.0
1237,,,,,,10552.0,,,,,,,,8600000US10552,10552.0,ZCTA5 10552,70991.0
1238,,,,,,10553.0,,,,,,,,8600000US10553,10553.0,ZCTA5 10553,70513.0
1239,,,,,,10560.0,,,,,,,,8600000US10560,10560.0,ZCTA5 10560,126905.0
1240,,,,,,10562.0,,,,,,,,8600000US10562,10562.0,ZCTA5 10562,71773.0
1241,,,,,,10566.0,,,,,,,,8600000US10566,10566.0,ZCTA5 10566,52125.0
1242,,,,,,10567.0,,,,,,,,8600000US10567,10567.0,ZCTA5 10567,119521.0
1243,,,,,,10570.0,,,,,,,,8600000US10570,10570.0,ZCTA5 10570,125814.0
1244,,,,,,10573.0,,,,,,,,8600000US10573,10573.0,ZCTA5 10573,67206.0
1245,,,,,,10576.0,,,,,,,,8600000US10576,10576.0,ZCTA5 10576,172714.0
1246,,,,,,10577.0,,,,,,,,8600000US10577,10577.0,ZCTA5 10577,216250.0
1247,,,,,,10578.0,,,,,,,,8600000US10578,10578.0,ZCTA5 10578,115714.0
1248,,,,,,10579.0,,,,,,,,8600000US10579,10579.0,ZCTA5 10579,105694.0
1249,,,,,,10580.0,,,,,,,,8600000US10580,10580.0,ZCTA5 10580,156595.0
1250,,,,,,10583.0,,,,,,,,8600000US10583,10583.0,ZCTA5 10583,175123.0
1251,,,,,,10588.0,,,,,,,,8600000US10588,10588.0,ZCTA5 10588,73054.0
1252,,,,,,10589.0,,,,,,,,8600000US10589,10589.0,ZCTA5 10589,100240.0
1253,,,,,,10590.0,,,,,,,,8600000US10590,10590.0,ZCTA5 10590,131607.0
1254,,,,,,10591.0,,,,,,,,8600000US10591,10591.0,ZCTA5 10591,78388.0
1255,,,,,,10594.0,,,,,,,,8600000US10594,10594.0,ZCTA5 10594,116950.0
1256,,,,,,10595.0,,,,,,,,8600000US10595,10595.0,ZCTA5 10595,103889.0
1257,,,,,,10596.0,,,,,,,,8600000US10596,10596.0,ZCTA5 10596,54432.0
1258,,,,,,10597.0,,,,,,,,8600000US10597,10597.0,ZCTA5 10597,207895.0
1259,,,,,,10598.0,,,,,,,,8600000US10598,10598.0,ZCTA5 10598,116862.0
1260,,,,,,10601.0,,,,,,,,8600000US10601,10601.0,ZCTA5 10601,69234.0
1261,,,,,,10603.0,,,,,,,,8600000US10603,10603.0,ZCTA5 10603,91884.0
1262,,,,,,10604.0,,,,,,,,8600000US10604,10604.0,ZCTA5 10604,87396.0
1263,,,,,,10605.0,,,,,,,,8600000US10605,10605.0,ZCTA5 10605,107325.0
1264,,,,,,10606.0,,,,,,,,8600000US10606,10606.0,ZCTA5 10606,69579.0
1265,,,,,,10607.0,,,,,,,,8600000US10607,10607.0,ZCTA5 10607,130982.0
1266,,,,,,10701.0,,,,,,,,8600000US10701,10701.0,ZCTA5 10701,42238.0
1267,,,,,,10703.0,,,,,,,,8600000US10703,10703.0,ZCTA5 10703,58244.0
1268,,,,,,10704.0,,,,,,,,8600000US10704,10704.0,ZCTA5 10704,70272.0
1269,,,,,,10705.0,,,,,,,,8600000US10705,10705.0,ZCTA5 10705,45446.0
1270,,,,,,10706.0,,,,,,,,8600000US10706,10706.0,ZCTA5 10706,127632.0
1271,,,,,,10707.0,,,,,,,,8600000US10707,10707.0,ZCTA5 10707,94427.0
1272,,,,,,10708.0,,,,,,,,8600000US10708,10708.0,ZCTA5 10708,98014.0
1273,,,,,,10709.0,,,,,,,,8600000US10709,10709.0,ZCTA5 10709,95625.0
1274,,,,,,10710.0,,,,,,,,8600000US10710,10710.0,ZCTA5 10710,82324.0
1275,,,,,,10801.0,,,,,,,,8600000US10801,10801.0,ZCTA5 10801,56101.0
1276,,,,,,10803.0,,,,,,,,8600000US10803,10803.0,ZCTA5 10803,151607.0
1277,,,,,,10804.0,,,,,,,,8600000US10804,10804.0,ZCTA5 10804,161445.0
1278,,,,,,10805.0,,,,,,,,8600000US10805,10805.0,ZCTA5 10805,57672.0
1279,,,,,,10901.0,,,,,,,,8600000US10901,10901.0,ZCTA5 10901,87444.0
1280,,,,,,10910.0,,,,,,,,8600000US10910,10910.0,ZCTA5 10910,
1281,,,,,,10911.0,,,,,,,,8600000US10911,10911.0,ZCTA5 10911,
1282,,,,,,10913.0,,,,,,,,8600000US10913,10913.0,ZCTA5 10913,120929.0
1283,,,,,,10914.0,,,,,,,,8600000US10914,10914.0,ZCTA5 10914,129632.0
1284,,,,,,10915.0,,,,,,,,8600000US10915,10915.0,ZCTA5 10915,
1285,,,,,,10916.0,,,,,,,,8600000US10916,10916.0,ZCTA5 10916,105104.0
1286,,,,,,10917.0,,,,,,,,8600000US10917,10917.0,ZCTA5 10917,96077.0
1287,,,,,,10918.0,,,,,,,,8600000US10918,10918.0,ZCTA5 10918,91471.0
1288,,,,,,10919.0,,,,,,,,8600000US10919,10919.0,ZCTA5 10919,97703.0
1289,,,,,,10920.0,,,,,,,,8600000US10920,10920.0,ZCTA5 10920,103344.0
1290,,,,,,10921.0,,,,,,,,8600000US10921,10921.0,ZCTA5 10921,86071.0
1291,,,,,,10922.0,,,,,,,,8600000US10922,10922.0,ZCTA5 10922,96875.0
1292,,,,,,10923.0,,,,,,,,8600000US10923,10923.0,ZCTA5 10923,83734.0
1293,,,,,,10924.0,,,,,,,,8600000US10924,10924.0,ZCTA5 10924,90184.0
1294,,,,,,10925.0,,,,,,,,8600000US10925,10925.0,ZCTA5 10925,68125.0
1295,,,,,,10926.0,,,,,,,,8600000US10926,10926.0,ZCTA5 10926,66394.0
1296,,,,,,10927.0,,,,,,,,8600000US10927,10927.0,ZCTA5 10927,56061.0
1297,,,,,,10928.0,,,,,,,,8600000US10928,10928.0,ZCTA5 10928,77969.0
1298,,,,,,10930.0,,,,,,,,8600000US10930,10930.0,ZCTA5 10930,129477.0
1299,,,,,,10931.0,,,,,,,,8600000US10931,10931.0,ZCTA5 10931,78162.0
1300,,,,,,10932.0,,,,,,,,8600000US10932,10932.0,ZCTA5 10932,
1301,,,,,,10933.0,,,,,,,,8600000US10933,10933.0,ZCTA5 10933,97845.0
1302,,,,,,10940.0,,,,,,,,8600000US10940,10940.0,ZCTA5 10940,57007.0
1303,,,,,,10941.0,,,,,,,,8600000US10941,10941.0,ZCTA5 10941,66141.0
1304,,,,,,10950.0,,,,,,,,8600000US10950,10950.0,ZCTA5 10950,70645.0
1305,,,,,,10952.0,,,,,,,,8600000US10952,10952.0,ZCTA5 10952,55595.0
1306,,,,,,10953.0,,,,,,,,8600000US10953,10953.0,ZCTA5 10953,123600.0
1307,,,,,,10954.0,,,,,,,,8600000US10954,10954.0,ZCTA5 10954,90743.0
1308,,,,,,10956.0,,,,,,,,8600000US10956,10956.0,ZCTA5 10956,119899.0
1309,,,,,,10958.0,,,,,,,,8600000US10958,10958.0,ZCTA5 10958,103203.0
1310,,,,,,10960.0,,,,,,,,8600000US10960,10960.0,ZCTA5 10960,80141.0
1311,,,,,,10962.0,,,,,,,,8600000US10962,10962.0,ZCTA5 10962,94303.0
1312,,,,,,10963.0,,,,,,,,8600000US10963,10963.0,ZCTA5 10963,74821.0
1313,,,,,,10964.0,,,,,,,,8600000US10964,10964.0,ZCTA5 10964,83257.0
1314,,,,,,10965.0,,,,,,,,8600000US10965,10965.0,ZCTA5 10965,94352.0
1315,,,,,,10968.0,,,,,,,,8600000US10968,10968.0,ZCTA5 10968,91581.0
1316,,,,,,10969.0,,,,,,,,8600000US10969,10969.0,ZCTA5 10969,92500.0
1317,,,,,,10970.0,,,,,,,,8600000US10970,10970.0,ZCTA5 10970,82856.0
1318,,,,,,10973.0,,,,,,,,8600000US10973,10973.0,ZCTA5 10973,91250.0
1319,,,,,,10974.0,,,,,,,,8600000US10974,10974.0,ZCTA5 10974,86006.0
1320,,,,,,10975.0,,,,,,,,8600000US10975,10975.0,ZCTA5 10975,
1321,,,,,,10976.0,,,,,,,,8600000US10976,10976.0,ZCTA5 10976,46750.0
1322,,,,,,10977.0,,,,,,,,8600000US10977,10977.0,ZCTA5 10977,56598.0
1323,,,,,,10979.0,,,,,,,,8600000US10979,10979.0,ZCTA5 10979,68125.0
1324,,,,,,10980.0,,,,,,,,8600000US10980,10980.0,ZCTA5 10980,95214.0
1325,,,,,,10983.0,,,,,,,,8600000US10983,10983.0,ZCTA5 10983,113036.0
1326,,,,,,10984.0,,,,,,,,8600000US10984,10984.0,ZCTA5 10984,120341.0
1327,,,,,,10985.0,,,,,,,,8600000US10985,10985.0,ZCTA5 10985,
1328,,,,,,10986.0,,,,,,,,8600000US10986,10986.0,ZCTA5 10986,119671.0
1329,,,,,,10987.0,,,,,,,,8600000US10987,10987.0,ZCTA5 10987,97279.0
1330,,,,,,10988.0,,,,,,,,8600000US10988,10988.0,ZCTA5 10988,79375.0
1331,,,,,,10989.0,,,,,,,,8600000US10989,10989.0,ZCTA5 10989,104285.0
