Id,Id2,code,med_inc,ZIP
8600000US11518,11518,ZCTA5 11518,92901,11518
8600000US11520,11520,ZCTA5 11520,72628,11520
8600000US11530,11530,ZCTA5 11530,139821,11530
8600000US11542,11542,ZCTA5 11542,68647,11542
8600000US11545,11545,ZCTA5 11545,142219,11545
8600000US11547,11547,ZCTA5 11547,115917,11547
8600000US11548,11548,ZCTA5 11548,100893,11548
8600000US11549,11549,ZCTA5 11549,,11549
8600000US11550,11550,ZCTA5 11550,57003,11550
8600000US11552,11552,ZCTA5 11552,97254,11552
8600000US11553,11553,ZCTA5 11553,70201,11553
8600000US11554,11554,ZCTA5 11554,94214,11554
8600000US11556,11556,ZCTA5 11556,,11556
8600000US11557,11557,ZCTA5 11557,120617,11557
8600000US11558,11558,ZCTA5 11558,72292,11558
8600000US11559,11559,ZCTA5 11559,115252,11559
8600000US11560,11560,ZCTA5 11560,103594,11560
8600000US11561,11561,ZCTA5 11561,89252,11561
8600000US11563,11563,ZCTA5 11563,85194,11563
8600000US11565,11565,ZCTA5 11565,110110,11565
8600000US11566,11566,ZCTA5 11566,125992,11566
8600000US11568,11568,ZCTA5 11568,172750,11568
8600000US11569,11569,ZCTA5 11569,110398,11569
8600000US11570,11570,ZCTA5 11570,107442,11570
8600000US11572,11572,ZCTA5 11572,95750,11572
8600000US11575,11575,ZCTA5 11575,65890,11575
8600000US11576,11576,ZCTA5 11576,152910,11576
8600000US11577,11577,ZCTA5 11577,116667,11577
8600000US11579,11579,ZCTA5 11579,110696,11579
8600000US11580,11580,ZCTA5 11580,90536,11580
8600000US11581,11581,ZCTA5 11581,100787,11581
8600000US11590,11590,ZCTA5 11590,89083,11590
8600000US11596,11596,ZCTA5 11596,110575,11596
8600000US11598,11598,ZCTA5 11598,129907,11598
8600000US11691,11691,ZCTA5 11691,42023,11691
8600000US11692,11692,ZCTA5 11692,42127,11692
8600000US11693,11693,ZCTA5 11693,53281,11693
8600000US11694,11694,ZCTA5 11694,75094,11694
8600000US11697,11697,ZCTA5 11697,93333,11697
8600000US11701,11701,ZCTA5 11701,73494,11701
8600000US11702,11702,ZCTA5 11702,97294,11702
8600000US11703,11703,ZCTA5 11703,88983,11703
8600000US11704,11704,ZCTA5 11704,81072,11704
8600000US11705,11705,ZCTA5 11705,98321,11705
8600000US11706,11706,ZCTA5 11706,79086,11706
8600000US11709,11709,ZCTA5 11709,101221,11709
8600000US11710,11710,ZCTA5 11710,106204,11710
8600000US11713,11713,ZCTA5 11713,71101,11713
8600000US11714,11714,ZCTA5 11714,88750,11714
8600000US11715,11715,ZCTA5 11715,108009,11715
8600000US11716,11716,ZCTA5 11716,79968,11716
8600000US11717,11717,ZCTA5 11717,70208,11717
8600000US11718,11718,ZCTA5 11718,122692,11718
8600000US11719,11719,ZCTA5 11719,91488,11719
8600000US11720,11720,ZCTA5 11720,91224,11720
8600000US11721,11721,ZCTA5 11721,106786,11721
8600000US11722,11722,ZCTA5 11722,66570,11722
8600000US11724,11724,ZCTA5 11724,200313,11724
8600000US11725,11725,ZCTA5 11725,113613,11725
8600000US11726,11726,ZCTA5 11726,69123,11726
8600000US11727,11727,ZCTA5 11727,75408,11727
8600000US11729,11729,ZCTA5 11729,83122,11729
8600000US11730,11730,ZCTA5 11730,115402,11730
8600000US11731,11731,ZCTA5 11731,99360,11731
8600000US11732,11732,ZCTA5 11732,116125,11732
8600000US11733,11733,ZCTA5 11733,129358,11733
8600000US11735,11735,ZCTA5 11735,91156,11735
8600000US11738,11738,ZCTA5 11738,94522,11738
8600000US11739,11739,ZCTA5 11739,129464,11739
8600000US11740,11740,ZCTA5 11740,89102,11740
8600000US11741,11741,ZCTA5 11741,100133,11741
8600000US11742,11742,ZCTA5 11742,86381,11742
8600000US11743,11743,ZCTA5 11743,113750,11743
8600000US11746,11746,ZCTA5 11746,99414,11746
8600000US11747,11747,ZCTA5 11747,117288,11747
8600000US11749,11749,ZCTA5 11749,87976,11749
8600000US11751,11751,ZCTA5 11751,95191,11751
8600000US11752,11752,ZCTA5 11752,100108,11752
8600000US11753,11753,ZCTA5 11753,145947,11753
8600000US11754,11754,ZCTA5 11754,100101,11754
8600000US11755,11755,ZCTA5 11755,96654,11755
8600000US11756,11756,ZCTA5 11756,100773,11756
8600000US11757,11757,ZCTA5 11757,81330,11757
8600000US11758,11758,ZCTA5 11758,104128,11758
8600000US11762,11762,ZCTA5 11762,112083,11762
8600000US11763,11763,ZCTA5 11763,85450,11763
8600000US11764,11764,ZCTA5 11764,109153,11764
8600000US11765,11765,ZCTA5 11765,137500,11765
8600000US11766,11766,ZCTA5 11766,111397,11766
8600000US11767,11767,ZCTA5 11767,119319,11767
8600000US11768,11768,ZCTA5 11768,117023,11768
8600000US11769,11769,ZCTA5 11769,86000,11769
8600000US11770,11770,ZCTA5 11770,148750,11770
8600000US11771,11771,ZCTA5 11771,118264,11771
8600000US11772,11772,ZCTA5 11772,68077,11772
8600000US11776,11776,ZCTA5 11776,92280,11776
8600000US11777,11777,ZCTA5 11777,112660,11777
8600000US11778,11778,ZCTA5 11778,90658,11778
8600000US11779,11779,ZCTA5 11779,85972,11779
8600000US11780,11780,ZCTA5 11780,107170,11780
8600000US11782,11782,ZCTA5 11782,110869,11782
8600000US11783,11783,ZCTA5 11783,105915,11783
8600000US11784,11784,ZCTA5 11784,89699,11784
8600000US11786,11786,ZCTA5 11786,121875,11786
8600000US11787,11787,ZCTA5 11787,111961,11787
