ZIP,ED_Visits
10451,6183
10452,6685
10453,6967
10454,5370
10455,5399
10456,10391
10457,9368
10458,7196
10459,4752
10460,5643
10461,2370
10462,4903
10463,2361
10464,155
10465,1565
10466,5471
10467,8712
10468,5091
10469,3799
10470,748
10471,303
10472,5010
10473,4758
10474,1103
10475,1641
