ZIP,ED_Visits
11201,1867
11203,4235
11204,585
11205,2000
11206,7258
11207,8450
11208,6904
11209,970
11210,1850
11211,2422
11212,9242
11213,4909
11214,844
11215,994
11216,3820
11217,1117
11218,1146
11219,958
11220,2423
11221,8086
11222,452
11223,1341
11224,1876
11225,2840
11226,5483
11228,346
11229,950
11230,1003
11231,1072
11232,722
11233,6669
11234,1987
11235,917
11236,4460
11237,3239
11238,2384
11239,662
11240,0
11251,0
