BINs,Type,Score,S_EUI,BBL
1040162,Multifamily Housing,5,,1013657501
1076281,Multifamily Housing,,87.9,1013657502
1078261; 1078260,Multifamily Housing,,,1013660001
1086869,Multifamily Housing,83,109.5,1013660016
1040353,Multifamily Housing,55,110.7,1013660025
1040354,Multifamily Housing,58,112.6,1013660039
1040355,Multifamily Housing,,151.2,1013660047
1040356,Multifamily Housing,1,315.4,1013667501
1040460,Multifamily Housing,19,147.6,1013670001
1040461,Parking,,11.3,1013670010
1040462,Multifamily Housing,62,,1013670020
1040463,Multifamily Housing,20,156.3,1013670026
1040464,Multifamily Housing,98,111.9,1013670031
1040465,Multifamily Housing,97,116.5,1013670035
1040466,Multifamily Housing,69,127.5,1013680001
1040467,Multifamily Housing,100,,1013680005
1040468,Multifamily Housing,42,120.2,1013680013
1040469,Multifamily Housing,91,86.8,1013680024
1040470,Multifamily Housing,100,35.2,1013680025
1040471,Multifamily Housing,,125.5,1013680033
1040472,Multifamily Housing,38,106.4,1013680036
1040474,Multifamily Housing,35,112,1013680042
1040475,Multifamily Housing,27,137.1,1013687501
1040536,Multifamily Housing,17,169.6,1013690002
1040537,Multifamily Housing,81,,1013690007
1040539,Multifamily Housing,95,79.5,1013690012
1040541,Multifamily Housing,41,144.9,1013690016
1040542,Multifamily Housing,87,99.5,1013690019
1040544,Multifamily Housing,79,102.1,1013690026
1040554,Multifamily Housing,25,157.8,1013690042
1040555,Multifamily Housing,78,114.3,1013690045
1040561,Multifamily Housing,48,140.6,1013697501
1040637,Multifamily Housing,9,188,1013700015
1040638,Multifamily Housing,70,109.8,1013700021
1072003;1802488,Multifamily Housing,12,178.1,1013700038
1040645,Multifamily Housing,,583.9,1013707501
1040721,Multifamily Housing,79,98.1,1013710014
1040722,Multifamily Housing,98,,1013710038
1040723,Multifamily Housing,55,149.8,1013720002
1040744,Multifamily Housing,,125,1013720062
1040747,Multifamily Housing,100,70.1,1013720073
1087189,Multifamily Housing,30,149.5,1013737501
1087292,Multifamily Housing,,163.8,1013737502
1087315,Multifamily Housing,38,152.8,1013737503
1087314,Multifamily Housing,61,122.9,1013737504
1083201,Multifamily Housing,16,170.2,1013737505
1040751,Hotel,5,252.3,1013740001
1040753,Office,82,218.4,1013740014
1040754,Office,65,207.6,1013740021
1040757,Multifamily Housing,68,135.6,1013740037
1040759,Medical Office,60,,1013740045
1040762,Office,39,266.1,1013740049
1040763,Office,68,195,1013740060
1040764,Hotel,46,,1013740065
1040765,Multifamily Housing,21,139.2,1013740069
1040766,Office,78,192.6,1013747501
1040756,Multifamily Housing,7,165.9,1013747502
1081206,Hotel,10,341.3,1013750001
1040801,Office,86,,1013750016
1040802,Office,65,232.6,1013750021
1072007,Office,68,222.5,1013750049
1040809,Hotel,4,352.9,1013750067
1040811,Multifamily Housing,1,45301.9,1013757501
1040808,Office,1,,1013757502
1040806,Multifamily Housing,35,120,1013757503
1078315,Multifamily Housing,49,130.6,1013760001
Not Available,Multifamily Housing,100,10.8,1013760015
1946606,Hotel,46,239.5,1013760036
1040856,Multifamily Housing,28,153.8,1013760037
1040861,Multifamily Housing,95,87.3,1013760051
1040883,Multifamily Housing,,122.7,1013770001
1040884,Multifamily Housing,13,146.2,1013770003
1040898,Multifamily Housing,81,108.8,1013770029
1040900,Multifamily Housing,76,144.4,1013770040
1040906,Hotel,32,255.8,1013770047
1040922,Multifamily Housing,,,1013777501
1040935,Multifamily Housing,1,266,1013777502
1041015,Multifamily Housing,,201.9,1013780001
1041036,Multifamily Housing,99,98.4,1013780033
1041044,Multifamily Housing,22,,1013780048
1041056,Multifamily Housing,5,197.2,1013780070
1041068,Multifamily Housing,60,128.2,1013790001
1041078,Multifamily Housing,97,85.1,1013790021
1041080,Hotel,78,162.4,1013790026
1041091,Multifamily Housing,,155,1013790051
1041086,Multifamily Housing,1,262.8,1013797502
1041101,Multifamily Housing,,258.6,1013797504
1081210,Office,84,119.9,1013800001
1041128,Multifamily Housing,4,194.1,1013800023
1041136,Multifamily Housing,,122.6,1013800035
1041137,Multifamily Housing,23,116.3,1013800039
1041152,K-12 School,98,37.7,1013800061
1041153,Multifamily Housing,,,1013800069
1087937,Multifamily Housing,99,82.1,1013807501
1041159,Multifamily Housing,,147.3,1013810001
1041170,Multifamily Housing,86,,1013810025
1041175,Multifamily Housing,,,1013810035
1041176,Multifamily Housing,,132.5,1013810038
1041195,Multifamily Housing,,157.9,1013810069
1076285,Multifamily Housing,98,67.2,1013817502
1076286,Multifamily Housing,,124.3,1013817503
1041199,Multifamily Housing,,204.6,1013820001
1041223,Multifamily Housing,,155.3,1013820036
1041243,Multifamily Housing,,113.6,1013820069
1041237,Multifamily Housing,29,162.5,1013827501
1041250,Multifamily Housing,85,85.5,1013830001
1041288,Multifamily Housing,,121.5,1013830069
1041253,Multifamily Housing,55,143.7,1013837501
1041291,Multifamily Housing,,48.3,1013840001
1041292,Multifamily Housing,26,,1013840010
1041309,Multifamily Housing,98,69.9,1013840032
1041310,Multifamily Housing,,76.2,1013840037
1041320,Multifamily Housing,80,156.9,1013840063
1041321,Multifamily Housing,56,,1013840065
1041322,Multifamily Housing,,153.4,1013840069
1041317,Multifamily Housing,,228,1013847501
1041297,Multifamily Housing,13,174.7,1013847502
1081212,Museum,,205.3,1013850001
1041332,Multifamily Housing,47,156.8,1013850032
1041333,Multifamily Housing,30,162.6,1013850037
1041328,Multifamily Housing,,101,1013857502
1041352,Multifamily Housing,1,52019.6,1013860001
1041353,Multifamily Housing,63,122.7,1013860006
1041363,Multifamily Housing,12,177.6,1013860033
1041364,Multifamily Housing,72,105.3,1013860037
1041367,Multifamily Housing,43,130.5,1013860046
1041368,Multifamily Housing,,156.1,1013860049
1041377,Multifamily Housing,,133.6,1013860064
1041378,Multifamily Housing,40,115.4,1013860069
1041379,Multifamily Housing,57,124.4,1013867501
1041450,Multifamily Housing,24,120.7,1013870001
1041451,Multifamily Housing,97,55.7,1013870004
1041455,Multifamily Housing,99,,1013870014
1041456,Multifamily Housing,70,99.3,1013870021
1041460,Multifamily Housing,82,97.7,1013870027
1041461,Multifamily Housing,70,106.9,1013870031
1041463,Multifamily Housing,,140.8,1013870036
1041464,Multifamily Housing,30,151.4,1013870037
1041475,Multifamily Housing,99,66.4,1013870056
1041486,Multifamily Housing,54,150.2,1013870069
1041499,Multifamily Housing,50,136.9,1013880026
1041503,Multifamily Housing,,265.1,1013880033
1041504,Multifamily Housing,75,119.2,1013880037
1041515,Multifamily Housing,88,95.4,1013880056
1041523,Multifamily Housing,,134.1,1013880068
1041534,Multifamily Housing,9,173,1013887501
1041637,Multifamily Housing,,107.1,1013890001
1041659,Multifamily Housing,,113.9,1013890036
1041660,Multifamily Housing,,124.7,1013890038
1041667,Multifamily Housing,85,116.5,1013890056
1041673,Multifamily Housing,78,103.8,1013890069
1041649,Multifamily Housing,,31.8,1013897503
1041683,Multifamily Housing,,140.5,1013900003
1041695,Multifamily Housing,59,137.3,1013900023
1041701,Multifamily Housing,,132.6,1013900035
1041702; 1041800,Multifamily Housing,100,,1013900037
See Primary BBL,See Primary BBL,,,1013910034
1041706,Hotel,17,348.5,1013900057
1041712,Multifamily Housing,58,,1013900067
1076779,Multifamily Housing,100,33.2,1013907502
1041796,Enclosed Mall,,324.6,1013910014
Not Available,Hotel,1,153403.2,1013910021
1041801,Multifamily Housing,81,99.3,1013910040
1041802,Multifamily Housing,,134.6,1013910045
1041804,Multifamily Housing,26,131.9,1013910054
1041813,Multifamily Housing,48,130.5,1013910071
1041814,Multifamily Housing,26,139.8,1013910072
1041816,Multifamily Housing,55,109.6,1013920001
1041821,Hotel,,406.2,1013920017
1041828,Multifamily Housing,,121.1,1013920036
1041830,Multifamily Housing,,114,1013920040
1041833,Multifamily Housing,,87.6,1013920047
1076290,Multifamily Housing,44,127.5,1013920070
1072068,Multifamily Housing,78,,1013927501
1041874,Multifamily Housing,100,97.5,1013930033
1041880,Multifamily Housing,,117.7,1013930043
1041883,Multifamily Housing,1,57754.9,1013930052
1041900,Office,86,175.9,1013940001
1041902,Multifamily Housing,63,117.3,1013940007
1075639,Office,61,227.2,1013940013
1041904,Retail Store,72,248.7,1013940023
1041908,Multifamily Housing,26,176.1,1013947501
1041920,Office,59,230.4,1013950017
1041938,Multifamily Housing,37,120.5,1013950050
1041959,Multifamily Housing,43,118.4,1013957501
1041910,Multifamily Housing,1,212.1,1013957502
1041950,Multifamily Housing,1,238.8,1013957503
1041961,Multifamily Housing,,124.6,1013960001
1042010,Multifamily Housing,32,,1013960071
1042023,Multifamily Housing,,,1013970001
1042024,Multifamily Housing,46,123.6,1013970004
1042050,Multifamily Housing,,144.3,1013970033
1042058,Multifamily Housing,82,110.7,1013970066
1042059,Multifamily Housing,10,126.7,1013970069
1042051,Multifamily Housing,29,144.3,1013977503
1042069,Multifamily Housing,100,,1013977504
1042055,Multifamily Housing,,144.4,1013977505
1042091,Multifamily Housing,,105.1,1013980010
1042117,Multifamily Housing,,118.2,1013980060
1042137,Multifamily Housing,34,156.9,1013987501
1076296,Multifamily Housing,7,157.1,1013987502
1042355,Multifamily Housing,,114.6,1013990013
1042369,Multifamily Housing,11,172.9,1013990033
1042391,Multifamily Housing,,131.9,1013990074
1089700,Multifamily Housing,94,91,1013997502
1042414,Multifamily Housing,,211.1,1014000001
1042444,Multifamily Housing,27,136.3,1014000062
1042448,Multifamily Housing,,139.1,1014000069
1042457;1042429,Multifamily Housing,,184.8,1014007501
1042461; 1085153,Multifamily Housing,94,,1014010020
1042462,Multifamily Housing,60,103.3,1014010027
1042464,Multifamily Housing,,131.3,1014010033
1042466,Multifamily Housing,23,145.4,1014010054
1042467,Multifamily Housing,3,188.6,1014020001
1085154; 1076298,Multifamily Housing,69,121.6,1014020006
1042469,Multifamily Housing,30,158.3,1014020021
1042473,Multifamily Housing,28,159.1,1014020033
1076299,Multifamily Housing,42,150.5,1014027501
1042479,Multifamily Housing,61,,1014030033
1042480,Hotel,5,342.8,1014040001
1042486,Multifamily Housing,,106.9,1014040014
1042487,Multifamily Housing,64,123.9,1014040022
1042497,Multifamily Housing,,99.3,1014040033
1042508,Multifamily Housing,55,110.6,1014040052
1042530,Multifamily Housing,86,89.6,1014047501
1042610,Multifamily Housing,,149.4,1014047503
1042714,Other,,473.5,1014050001
1042739,Multifamily Housing,,174.5,1014050033
1042740,Multifamily Housing,76,107.2,1014050040
1042748,Multifamily Housing,95,74.4,1014050051
1042760,Multifamily Housing,53,149.8,1014050072
1042806,Multifamily Housing,,86.3,1014060017
1042822,Multifamily Housing,80,131.8,1014060046
1042823,Multifamily Housing,52,118.3,1014060050
1042829,Multifamily Housing,96,99.4,1014060065
1042830,Multifamily Housing,60,129.7,1014060069
1042824,Multifamily Housing,1,1423.7,1014067503
1042841,Multifamily Housing,86,120.9,1014070001
1042843,Multifamily Housing,71,147.9,1014070008
1042844,Multifamily Housing,,111.4,1014070016
1042845,Multifamily Housing,,,1014070020
1042849,Multifamily Housing,,114.1,1014070026
1042850; 1085156,Multifamily Housing,54,123.1,1014070033
1042858,Multifamily Housing,51,124.1,1014070051
1042881,Multifamily Housing,,83.8,1014077501
1043025,Multifamily Housing,54,113.7,1014080001
1043037,Multifamily Housing,44,117.8,1014080020
1043046,Multifamily Housing,71,101,1014080033
1043047,Multifamily Housing,80,107.8,1014080040
1043048,Multifamily Housing,84,94.5,1014080041
1043066,Multifamily Housing,11,138.4,1014080071
1043073,Multifamily Housing,,127.9,1014090001
1043081,Multifamily Housing,,120.4,1014090021
1043089,Multifamily Housing,,147.1,1014090033
1043090,Multifamily Housing,60,122.1,1014090040
1043103,Multifamily Housing,,126.2,1014090061
1043105,Multifamily Housing,,129.4,1014090069
1082906,Multifamily Housing,,276.6,1014097501
1076301,Multifamily Housing,,116.1,1014097502
1076302,Multifamily Housing,,156.4,1014097503
1043139,Multifamily Housing,66,112.8,1014100005
1043142,Multifamily Housing,15,190.6,1014100014
1043149,Multifamily Housing,57,131.1,1014100033
1043155,Medical Office,90,99,1014100064
1043160,Multifamily Housing,43,151.9,1014100069
1043163,Multifamily Housing,,,1014107501
1085651,Multifamily Housing,42,145.4,1014107503
1043138,Multifamily Housing,,168,1014107504
1082182;1082184;1082185;1082187;1082598;1085491;1082180;1082599;1082183,Hospital (General Medical & Surgical),28,,1014110001
1043174,Multifamily Housing,75,113.8,1014110023
1043178,Multifamily Housing,,140.9,1014110040
1043180,Multifamily Housing,,123.8,1014110053
1043173,Multifamily Housing,20,177.9,1014117501
1043179,Multifamily Housing,5,175.8,1014117502
1043184,Multifamily Housing,,123.6,1014120001
1043221,Multifamily Housing,25,167,1014120071
1077853,Multifamily Housing,55,,1014127501
1082192,Multifamily Housing,,173.8,1014127502
1043200,Multifamily Housing,65,116.1,1014127503
1043230,Multifamily Housing,96,101.8,1014130001
1043245,Multifamily Housing,67,103.2,1014130027
1043252,Multifamily Housing,93,104.9,1014130040
1043253,Multifamily Housing,49,139.6,1014130045
1043254,Multifamily Housing,92,106.4,1014130050
1043259,Multifamily Housing,93,83.7,1014130057
1043260,Multifamily Housing,49,130.3,1014130064
1043261,Multifamily Housing,29,138.5,1014130071
1043366,Multifamily Housing,,112.7,1014147501
1087103;1043337,Multifamily Housing,3,185.6,1014147502
1078348;1078347,Multifamily Housing,47,113.4,1014150021
1043547,Multifamily Housing,1,157841.6,1014157501
1043826,Multifamily Housing,,119.3,1014170001
1043848,Multifamily Housing,40,128.5,1014170035
1043861,Multifamily Housing,,,1014180001
1043862,Urgent Care/Clinic/Other Outpatient,,604.7,1014180006
1043863,Multifamily Housing,75,141.5,1014180011
1043864,Multifamily Housing,,140.7,1014180021
1043866,Multifamily Housing,1,271.1,1014180045
1043868,Hotel,43,157.2,1014190010
1043870,Multifamily Housing,82,102.1,1014197501
1076307,Multifamily Housing,56,165.7,1014197502
1043869,Multifamily Housing,3,211.6,1014197503
1043872,Multifamily Housing,,154.8,1014210001
1080467;1080470;1080471;1080472;1080473;1080474; 1080475;1080476;1080477;1080478,Multifamily Housing,97,92.2,1014210005
1043874,Multifamily Housing,65,116.6,1014210037
1081220,Office,50,311.6,1014220005
1043884,Multifamily Housing,34,139.2,1014220021
1043896,Multifamily Housing,,114.2,1014220048
1043903,Multifamily Housing,28,143.9,1014230010
1043902,Multifamily Housing,19,143.1,1014237501
1043904,Multifamily Housing,29,147.7,1014240001
1043905,Multifamily Housing,,102,1014240006
1043906,Multifamily Housing,22,,1014240010
1043912,Multifamily Housing,1,210.7,1014240034
1072223,Multifamily Housing,5,224.2,1014247501
1043920,Multifamily Housing,98,73.4,1014250001
1043921,Multifamily Housing,44,124.2,1014250005
1043923,Multifamily Housing,82,89.8,1014250017
1043929,Multifamily Housing,62,126.1,1014250029
1072227,Multifamily Housing,,128.4,1014257501
1043948,Multifamily Housing,,,1014260029
1083342,Multifamily Housing,1,268.6,1014260035
1043955,Multifamily Housing,,100,1014260044
1085194,Multifamily Housing,13,172.9,1014270001
1043966,Multifamily Housing,100,,1014270007
1043968,Residence Hall/Dormitory,1,160076.6,1014270011
1043972,Multifamily Housing,74,99.5,1014270018
1043975,Multifamily Housing,99,66.6,1014270030
1043976,Multifamily Housing,59,121.4,1014270034
1043977,Multifamily Housing,63,,1014270038
1043990,Multifamily Housing,99,,1014280009
1043991,Multifamily Housing,70,116.7,1014280013
1043992,Multifamily Housing,59,,1014280017
1044011,Multifamily Housing,21,148.6,1014280045
1044023,Multifamily Housing,4,204.2,1014290005
1044025,Multifamily Housing,58,126.9,1014290013
1087912,Multifamily Housing,6,241,1014297502
1044060,Multifamily Housing,,166.9,1014307501
1044074,Multifamily Housing,64,117.9,1014310016
1044075,Multifamily Housing,37,156.6,1014310021
1044096,Multifamily Housing,,,1014320001
1044097,Multifamily Housing,69,117.2,1014320005
1044129,Multifamily Housing,,172,1014320045
1044177,Multifamily Housing,78,100.4,1014330031
1044178,Multifamily Housing,14,165.7,1014330034
1076312,Multifamily Housing,,,1014337501
1088595,Multifamily Housing,48,158,1014337502
1044200,Fitness Center/Health Club/Gym,,575,1014350016
1044217,Office,94,,1014350044
1072231,Multifamily Housing,,198.9,1014357501
1044225,Non-Refrigerated Warehouse,85,,1014360003
1044248,Multifamily Housing,89,88.1,1014360122
1044249,Multifamily Housing,55,146.3,1014367501
1072390,Multifamily Housing,,254.4,1014367502
1044360,Multifamily Housing,48,144.3,1014370001
1044361,Office,60,164.3,1014370007
1044384,Multifamily Housing,75,112.7,1014380001
1044385,Multifamily Housing,3,177.8,1014380006
1044390,Multifamily Housing,12,158,1014387501
1044689,Multifamily Housing,75,100,1014390001
˜1044692˜˜˜,Multifamily Housing,62,,1014390009
1044695,Multifamily Housing,,,1014390023
1044696,Multifamily Housing,,111,1014390030
1044706,Multifamily Housing,17,,1014390042
1044707,Multifamily Housing,70,110.5,1014390046
1072488,Multifamily Housing,,238.2,1014397501
1078375,Multifamily Housing,20,132.1,1014400005
1044725,Multifamily Housing,63,125.2,1014400033
1044734,Urgent Care/Clinic/Other Outpatient,,555.2,1014400049
1044740,Multifamily Housing,46,151.6,1014410017
1044745,Multifamily Housing,,130.4,1014410031
1044750,Other,,591.3,1014410040
1044738,Multifamily Housing,,159.2,1014417501
1044753,Multifamily Housing,95,,1014430001
1044754,Multifamily Housing,,92.3,1014430011
1044756,Medical Office,8,340.2,1014430020
1044818,Multifamily Housing,,144,1014440008
1044820,Multifamily Housing,16,156.1,1014440015
1044821,Multifamily Housing,,194.8,1014440023
1044830,Multifamily Housing,63,141.7,1014440043
1072630,Multifamily Housing,18,152,1014447501
1044841,Multifamily Housing,13,177.3,1014450023
1044848,Multifamily Housing,,67,1014450035
1044849,Other - Specialty Hospital,,21.5,1014450040
1044853,Multifamily Housing,,119.2,1014457501
1044859,Multifamily Housing,53,138.7,1014460008
1044861,Multifamily Housing,,83.7,1014460014
1044862,Multifamily Housing,82,105.9,1014460023
1044864,Multifamily Housing,70,115,1014460038
1044866,Multifamily Housing,47,122.4,1014460042
1072637,Multifamily Housing,80,118.6,1014467501
1085184,Multifamily Housing,43,150.8,1014467502
1004877,Multifamily Housing,,,1014470005
1044878,Multifamily Housing,100,55.4,1014470009
1044879,Multifamily Housing,54,128.1,1014470013
1044882,Multifamily Housing,75,109.6,1014470019
1076314,Multifamily Housing,69,114.7,1014477501
1044897,Multifamily Housing,1,73113.5,1014480001
1089033,Multifamily Housing,,96.4,1014480003
1044904,Multifamily Housing,49,,1014480017
1044390,Multifamily Housing,35,120.3,1014487501
1044925,Multifamily Housing,,225.4,1014490003
1044934,Multifamily Housing,88,94.2,1014490038
1044935,Multifamily Housing,43,159,1014497501
1072675,Multifamily Housing,9,153.9,1014497502
1045135,Multifamily Housing,3,226.9,1014500001
1045148,Multifamily Housing,27,149.8,1014500023
1045146,Multifamily Housing,66,127.4,1014507501
1045174,Multifamily Housing,,119.4,1014510023
1045178,Multifamily Housing,82,117.4,1014510031
1045191;1045192,Multifamily Housing,29,155.6,1014517501
1045203,Multifamily Housing,79,,1014520010
1045234,Multifamily Housing,91,,1014530001
1045251,Multifamily Housing,69,118.4,1014530021
1045256,Multifamily Housing,,206,1014530027
1045262,Multifamily Housing,42,135.9,1014530037
1045264,Multifamily Housing,92,83.6,1014530043
1087778;1045265,Multifamily Housing,2,224.3,1014537501
1045277,Multifamily Housing,94,88.7,1014550021
1045271,Multifamily Housing,,211,1014557501
1045285,Ambulatory Surgical Center,,,1014560021
1045286;1802518,Multifamily Housing,,178.6,1014560026
1045287,Self-Storage Facility,,91,1014560035
1045288,Self-Storage Facility,,30.1,1014560046
1045290,Medical Office,61,247.5,1014567501
1045282,College/University,,499.8,1014567502
1078385,Multifamily Housing,,151.3,1014570017
1045322,Multifamily Housing,17,159.3,1014577501
1045380,Multifamily Housing,39,133.4,1014580005
1045381,Multifamily Housing,55,,1014587502
1085199,Multifamily Housing,12,103.4,1014587503
1083901;1083902;1083903;1083905;1083906;1083904;1083907;1083908,Multifamily Housing,,,1014590001
1078392;1078393;1078394;1078395;1078396,Multifamily Housing,99,,1014590010
1078403;1078404,Multifamily Housing,100,,1014590022
1078414;1078415;1078416;1078417,Multifamily Housing,99,,1014590030
1045391,Multifamily Housing,,181.5,1014600001
1045397,Multifamily Housing,90,131.8,1014600017
1045398,Multifamily Housing,100,76.9,1014600022
1045408,Multifamily Housing,8,165.5,1014600047
1083271,Multifamily Housing,55,133.2,1014607501
1045570,Laboratory,,900.5,1014610013
1045571,Multifamily Housing,94,80.6,1014610021
1081235;1081234;1087926,Multifamily Housing,4,191.7,1014617501
1045572,Other,,,1014620001
See Primary BBL,See Primary BBL,,,1014620005
1045575,Laboratory,,1104.8,1014637501
1045585,Office,90,145.2,1014640021
1085699;1045586,Medical Office,7,586.5,1014640028
1045588,Residence Hall/Dormitory,63,150.5,1014640030
1045589,Multifamily Housing,54,115.6,1014647501
1045589;1088793,Medical Office,11,766.5,1014647502
1045808,Multifamily Housing,,,1014650001
1045818,Multifamily Housing,,137.1,1014650021
1088406;1802555,Multifamily Housing,52,132.5,1014660003
1045836,Senior Care Community,1,349.9,1014660021
1045839,Multifamily Housing,27,,1014660037
1045832,Multifamily Housing,44,169.1,1014667501
1077233,Multifamily Housing,61,124.1,1014670018
1045849,Other - Specialty Hospital,,309.4,1014670021
Not Available,Hotel,51,233,1014680005
1045876,Multifamily Housing,,196.8,1014680021
1045901,Multifamily Housing,22,168.1,1014690028
1045891,Multifamily Housing,18,128.1,1014697501
1081243,Other - Specialty Hospital,,173.6,1014700033
1081245,Multifamily Housing,9,175.8,1014707501
1045948,Multifamily Housing,1,59817.1,1014710003
1045974,Multifamily Housing,21,159.2,1014710045
1045988,Multifamily Housing,71,125.8,1014720014
1045990,Multifamily Housing,,116.2,1014720022
1046026,Multifamily Housing,52,118.2,1014730018
1046034,Multifamily Housing,55,120.4,1014730038
1072689,Multifamily Housing,58,111.9,1014737501
1076320,Multifamily Housing,,105.1,1014737502
1046037,Multifamily Housing,17,160.1,1014737504
1046251,Hotel,40,215.4,1014740031
1046252,Other - Specialty Hospital,,1146.6,1014740040
1084781; 1084780,Hospital (General Medical & Surgical),69,363.5,1014800001
1087130;1808548;1087140;1087137;1087135;1087136;1087134;1087131;1087129;1087126;1087125;1087124;1087151;1087127;1087128;1087139;1087132,Other,,585.1,1014800010
1046255,Multifamily Housing,,188.3,1014820001
1046256,Other - Specialty Hospital,,514.1,1014820020
1081252,Mixed Use Property,,,1014820040
1046258,Other - Specialty Hospital,,3221,1014830023
1046259,Multifamily Housing,1,73992.6,1014830028
1087893,Other - Specialty Hospital,,249.7,1014830033
1078436; 1078437,Multifamily Housing,,204.6,1014830038
1072695,Multifamily Housing,,518.2,1014837501
1046261,Other - Specialty Hospital,,394.2,1014837502
1046260,Multifamily Housing,31,175.6,1014840001
1046262,Other - Specialty Hospital,,291.4,1014840014
1046261,Multifamily Housing,61,154.7,1014847501
1046307,Multifamily Housing,98,,1014870039
1046310,Multifamily Housing,80,,1014877501
1072696,Multifamily Housing,1,217.4,1014877502
1046407,Multifamily Housing,,125,1014880001
1085707,Multifamily Housing,49,122,1014880013
1046410,Multifamily Housing,,121.5,1014880045
1046413;1085202;1085203;1085204,Multifamily Housing,,297.2,1014900001
1046426,Multifamily Housing,2,179.2,1014910001
1046427,Multifamily Housing,,126.5,1014910004
1046432,Multifamily Housing,,169.2,1014910012
1046434,Multifamily Housing,,106.4,1014910016
1046437,Multifamily Housing,,133.3,1014910023
1046442,Multifamily Housing,,133,1014910030
1046443; 1085206,Multifamily Housing,50,141.8,1014910037
1046451,Multifamily Housing,,131.3,1014910048
1046471,Multifamily Housing,34,,1014917501
1046594,Multifamily Housing,,156,1014917502
1046609,Multifamily Housing,,115.5,1014920003
1046616,Multifamily Housing,83,99.7,1014920015
1046627,Multifamily Housing,,,1014920036
1046628,Multifamily Housing,,151.6,1014920037
1046638,Multifamily Housing,,57.5,1014920049
1046650,Multifamily Housing,6,167.5,1014920069
1076323,Multifamily Housing,3,257.9,1014927501
1046660,Multifamily Housing,,,1014930001
1046669,Multifamily Housing,39,129.4,1014930033
1046671,Multifamily Housing,96,112.4,1014930037
1046686,Multifamily Housing,,158.5,1014930072
1046689,Multifamily Housing,,148.3,1014937501
1046670,Multifamily Housing,21,144.5,1014937504
1046740,Multifamily Housing,,94.7,1014940001
1046749;1046802,Multifamily Housing,38,160.5,1014940015
1046750,Multifamily Housing,84,118.2,1014940023
1046759,Multifamily Housing,,138.5,1014940032
1046760,Multifamily Housing,33,117.2,1014940037
1046769,Multifamily Housing,100,52.6,1014940059
1046770,Multifamily Housing,56,109,1014940069
1046777,Multifamily Housing,,155.2,1014950001
1046778,Multifamily Housing,57,,1014950004
1046785,K-12 School,81,99.6,1014950032
1046787,Multifamily Housing,,152.7,1014950049
1046802,Multifamily Housing,63,,1014957501
1046809,Multifamily Housing,,135.8,1014960001
1046820,Multifamily Housing,,,1014960021
1046821,K-12 School,91,87.9,1014960026
1046822,Multifamily Housing,98,100.5,1014960034
1046824,Multifamily Housing,89,,1014960054
1046825,Multifamily Housing,100,47.6,1014960065
1046826,Multifamily Housing,27,121.1,1014960071
1072932;1802658;1808693;1804342;1804341,Multifamily Housing,9,190,1014967501
1046827,Multifamily Housing,,128.1,1014970001
1046830,Multifamily Housing,76,100.5,1014970009
1046831;1804346;1804345,Multifamily Housing,,104.5,1014970021
1046832,Multifamily Housing,,104,1014970028
1046833,Multifamily Housing,5,219.5,1014970034
1046834,Multifamily Housing,,,1014970041
1046836,Multifamily Housing,37,122.1,1014970044
1046837,Multifamily Housing,79,93.9,1014970046
1046842,Multifamily Housing,47,135.5,1014977501
1046845,Multifamily Housing,62,109.7,1014980001
1046848,Multifamily Housing,78,113.4,1014980010
1046849,Multifamily Housing,53,101.7,1014980014
1046850,Multifamily Housing,11,150.6,1014980020
1046851,Multifamily Housing,64,92.6,1014980027
1046852,Multifamily Housing,80,105.8,1014980033
1046853,Multifamily Housing,87,91.7,1014980037
1046861,Multifamily Housing,62,101.9,1014980069
1046862,Multifamily Housing,69,122,1014987501
1046913,Multifamily Housing,54,135.1,1014990001
1046914,Multifamily Housing,67,,1014990010
1046915,Multifamily Housing,49,101,1014990014
1046916,Multifamily Housing,45,123.2,1014990020
1046917,Multifamily Housing,,164.4,1014990025
1046918,Multifamily Housing,,105.8,1014990032
1046919,Multifamily Housing,,96.8,1014990040
1046921,Multifamily Housing,51,106.9,1014990051
1046923,Multifamily Housing,95,82.9,1014990061
1046924,Multifamily Housing,22,146.2,1014990065
1046925,Multifamily Housing,,167.4,1014990069
1046926,Multifamily Housing,,120.9,1014990071
1046927;1802688,Multifamily Housing,,140.8,1014997501
1046946,Museum,,523.3,1015000001
1046952,Multifamily Housing,,100.1,1015000015
1046953,Multifamily Housing,,99.4,1015000020
1046956,Multifamily Housing,,112,1015000040
1046957,Multifamily Housing,19,137.5,1015000045
1046958,Multifamily Housing,23,157.6,1015000053
1073030,K-12 School,26,172.2,1015000062
1046964,Multifamily Housing,61,114.6,1015000065
1046965,Multifamily Housing,9,165.8,1015010001
1046971,Multifamily Housing,,72.7,1015010016
1046974,Multifamily Housing,40,114.2,1015010033
1046977,Multifamily Housing,37,114.6,1015010040
1046978,Multifamily Housing,,119.3,1015010056
1046972,Multifamily Housing,,198.4,1015017501
1047005,K-12 School,,681.8,1015020059
1046983,Multifamily Housing,,77,1015020017
1046985,Multifamily Housing,72,115.5,1015020023
1046991,Multifamily Housing,35,123.6,1015020033
1046992,Multifamily Housing,75,,1015020040
1047014,Multifamily Housing,,90.8,1015030014
1047025,Multifamily Housing,81,,1015030038
1083912,K-12 School,42,167.1,1015030059
1047045,Multifamily Housing,62,128.6,1015030069
1047052,Museum,,381.8,1015040001
1047067,Hotel,31,402.7,1015040020
