BINs,Type,Score,S_EUI,BBL
1088484;1088485;1088486,Multifamily Housing,87,118.4,1000760024
1085931,Multifamily Housing,93,98.2,1000767501
1087867,Multifamily Housing,4,197.9,1000767502
1001185,Multifamily Housing,,159.4,1000770001
1001186,Office,95,113.1,1000770008
1079064,Residence Hall/Dormitory,79,125,1000780011
Not Available,Residence Hall/Dormitory,34,214.7,1000780020
1001193,Multifamily Housing,,176.4,1000787507
1001216,Multifamily Housing,90,103.9,1000790010
1087245,Multifamily Housing,6,174.6,1000797502
1001215,Multifamily Housing,98,75,1000797503
1001227,Office,92,140.4,1000800001
1075702,Hotel,28,254.3,1000800004
1001235,Office,79,,1000880005
1001237,Office,1,49215.8,1000880010
1087947,Multifamily Housing,,157.2,1000880014
1001241,Office,83,185.7,1000880018
1001242,Office,92,140.6,1000890001
1001245,Office,86,269.6,1000890012
1001249,Multifamily Housing,,37.7,1000907501
1001263,Multifamily Housing,1,299.9,1000917502
1001269;1001270,College/University,,172,1000920005
1089326,Hotel,62,,1000920014
1079094,Financial Office,100,76.7,1000920024
1001288,Multifamily Housing,83,113.6,1000930034
1083347;1083348;1087916;1083353;1083350;1083349;1083354;1083355;1083356,Multifamily Housing,,160.4,1000940001
1001290,Multifamily Housing,18,166.4,1000950027
1001352,Hospital (General Medical & Surgical),14,586,1001000001
1001354,Multifamily Housing,54,123,1001000026
1087756,Multifamily Housing,1,248.7,1001007501
1001355,Multifamily Housing,85,99.2,1001010001
Not Available,College/University,,168.8,1001010002
Not Available,College/University,,233.2,1001020001
1077410;1077411;1077412;1077413;1077414;1077415;1077416;1077417;1077418;1077419;1077420;1077421,Multifamily Housing,45,,1001110100
1001389,Data Center,,208,1001137501
1077407,Multifamily Housing,,111.7,1001170001
1087167,Office,78,180.1,1001237501
1001399,Office,72,147.8,1001240004
1001408,Office,62,,1001240024
1001409,Office,88,167.7,1001250020
1001412,Multifamily Housing,49,119.1,1001260013
1001410,Multifamily Housing,91,83.6,1001260027
1001415,Office,,256.1,1001270018
1001416,Financial Office,61,233.6,1001280002
1001417,Office,,134.9,1001280026
1081076;1810366;1804629;1805490;1805488,Multifamily Housing,12,176,1001327501
1001421,Multifamily Housing,,156,1001327503
1077426,Multifamily Housing,,117.3,1001340025
1001446,Multifamily Housing,16,,1001347503
1001451,Multifamily Housing,75,104.3,1001347505
1001473,Multifamily Housing,43,116.4,1001357501
1079153,Multifamily Housing,1,62817.7,1001357504
1079156,Multifamily Housing,35,155,1001367502
1088224,Hotel,,309.1,1001367505
1001488,Multifamily Housing,,96.4,1001370005
1066187,Multifamily Housing,10,182.9,1001377502
1085521,Multifamily Housing,33,160.5,1001400005
1066317,Multifamily Housing,7,209.6,1001407501
1075706,Multifamily Housing,1,259.7,1001407502
1001505,Multifamily Housing,6,177.1,1001407505
1001531,Multifamily Housing,7,138.6,1001417504
1087170,Multifamily Housing,,230.1,1001427501
1087716,Multifamily Housing,1,192.6,1001427502
1001543,Multifamily Housing,52,124.8,1001430001
1001544,Multifamily Housing,68,102.1,1001430004
1001553,Multifamily Housing,35,,1001430021
1001572,Data Center,,942.5,1001440040
1001607,Multifamily Housing,,242.3,1001477509
1001621,Office,82,140.7,1001480010
1001622,Office,89,155.7,1001480015
1001635,Other,,,1001490033
1087951,Multifamily Housing,43,137.3,1001497502
1001648,Office,91,130.7,1001500031
1001649,Office,59,176.4,1001500038
1001640,Multifamily Housing,,75.9,1001507501
1001650,Multifamily Housing,27,145.4,1001510001
1001659,Office,5,462.2,1001510032
1001673,Office,99,,1001550003
1077438; 1077439,Multifamily Housing,,128.2,1001610001
1085786,Multifamily Housing,40,147.2,1001700001
1086161;1812335,Multifamily Housing,4,245.2,1001700020
1001838,Multifamily Housing,,370.2,1001717503
1001862,Multifamily Housing,,,1001720001
1001870,Residence Hall/Dormitory,59,151.1,1001720020
1001866,Multifamily Housing,16,169.1,1001727501
1088222,Multifamily Housing,5,183.6,1001727504
1087082,Multifamily Housing,9,216.4,1001730027
1001877,Multifamily Housing,18,152,1001737501
1079275,Multifamily Housing,,221.4,1001737502
1001883,Multifamily Housing,8,199.1,1001737504
1001939,Multifamily Housing,23,124.3,1001750033
1001940,Office,29,283.6,1001757501
1001924,Multifamily Housing,40,138,1001757504
1001937; 1001938,Multifamily Housing,100,34.1,1001757506
1001957,Office,1,120639.3,1001760001
1001967,K-12 School,1,54805.2,1001760018
1001994,Multifamily Housing,70,106.9,1001790017
1002002,Multifamily Housing,,229.8,1001790032
1002012,Multifamily Housing,23,125.9,1001790056
1002017,Non-Refrigerated Warehouse,53,63.1,1001790066
1001998,Multifamily Housing,6,150.8,1001797506
1066447,Office,,333,1001817503
1075728,Office,,,1001817504
1082816,Office,81,193.1,1001860001
1087575,Hotel,1,439.2,1001870016
1083366,Multifamily Housing,1,188.6,1001870030
1002114,Office,2,419.8,1001877501
1002124,Multifamily Housing,3,205.2,1001887502
1002127,Multifamily Housing,26,182,1001887503
1002125,Multifamily Housing,78,125.2,1001887505
1002146;1002147,Multifamily Housing,77,89.7,1001890030
1002154,Multifamily Housing,5,179.7,1001897501
1002161;1002162,Multifamily Housing,,129,1001907503
1002167,Multifamily Housing,43,145.7,1001907504
1002160,Multifamily Housing,,145.4,1001907505
1002166,Multifamily Housing,47,144.8,1001907506
1088221,Hotel,5,371.8,1001910001
1002192,Office,100,716.4,1001920001
1002221,Multifamily Housing,54,131,1001937501
1002323,Office,,3.8,1001950007
1002329,Office,,131.8,1001950017
1002338,Office,12,336.7,1001960005
1002356,Office,,,1001970007
1002357,Multifamily Housing,1,309.6,1001977502
1002434,Multifamily Housing,94,81.7,1002027501
1087278,Multifamily Housing,,125.3,1002047501
1086548,Multifamily Housing,59,133,1002067501
1002673,Multifamily Housing,42,149.9,1002087501
1801392,Hotel,44,251.6,1002110029
1002733,Multifamily Housing,100,20,1002120007
